Beam,Date,Time,RTT(ms),Download(kbit/s),Upload(kbit/s)
1000,2018-11-14,1324,672.039,1423.36,1536.0
1000,2018-11-14,1335,1123.248,0.0,757.76
1000,2018-11-14,1340,737.352,1044.48,245.76
1000,2018-11-14,1345,1440.339,870.4,1822.72
1000,2018-11-14,1350,1821.737,665.6,1730.56
1000,2018-11-14,1355,,,
1000,2018-11-14,1400,1172.809,245.76,1802.24
1000,2018-11-14,1405,638.54,808.96,1832.96
1000,2018-11-14,1410,1825.518,71.68,1085.44
1000,2018-11-14,1415,2037.307,778.24,1802.24
1000,2018-11-14,1416,,,
1000,2018-11-14,1420,493.681,378.88,1658.88
1000,2018-11-14,1425,1497.258,0.0,1116.16
1000,2018-11-14,1430,823.469,768.0,1443.84
1000,2018-11-14,1435,1165.848,71.68,860.16
1000,2018-11-14,1440,1527.816,696.32,798.72
1000,2018-11-14,1445,504.022,0.0,1105.92
1000,2018-11-14,1450,,,
1000,2018-11-14,1455,487.097,849.92,1669.12
1000,2018-11-14,1500,661.758,1013.76,1689.6
1000,2018-11-14,1505,534.889,512.0,1587.2
1000,2018-11-14,1506,712.323,942.08,0.0
1000,2018-11-14,1510,1502.731,706.56,1587.2
1000,2018-11-14,1515,1166.894,163.84,1525.76
1000,2018-11-14,1520,814.801,614.4,1648.64
1000,2018-11-14,1525,500.81,0.0,1085.44
1000,2018-11-14,1530,813.841,153.6,1812.48
1000,2018-11-14,1535,839.862,133.12,1638.4
1000,2018-11-14,1540,501.904,634.88,1822.72
1000,2018-11-14,1545,500.162,0.0,0.0
1000,2018-11-14,1550,669.755,716.8,1198.08
1000,2018-11-14,1555,825.078,389.12,1423.36
1000,2018-11-14,1600,,,
1000,2018-11-14,1605,1739.785,0.0,1085.44
1000,2018-11-14,1610,,,
1000,2018-11-14,1615,,,
1000,2018-11-14,1620,794.46,0.0,552.96
1000,2018-11-14,1625,,,
1000,2018-11-14,1630,,,
1000,2018-11-14,1635,,,
