id,channelname,hunt_bandwidth,hunt_frequency,longitude,max_lat,max_skew,min_look_angle,name,tle_title,pol_skew,polarity,rx_lcl_osc,skew_margin,tx_bandwidth,tx_frequency,tx_lcl_osc,tx_polarity
123,KT5_NEA,0,1397.5,113.15,0,90,0,Koreasat 5,KOREASAT 5,0,V,11300,90,0,0,12800,X
159,NSS_12_KU_MEA,0,1612.75,57,0,90,0,NSS12,NSS-12,0,V,10000,90,0,0,12800,X
190,ST_2_KU_ASA,0,1336.225,88,0,90,0,ST2,ST-2,0,H,11300,90,0,0,12800,X
221,NAOR_T11N,0,1518.2,-37.5,0,90,0,T11N,TELSTAR 11N,0,H,10000,90,0,0,12800,X
234,SM6_2KU,0,1412.975,-113,0,90,0,SM62KU,,0,H,10750,90,0,0,12800,X
250,AS4AUST,0,1159.89,122.1,0,90,0,Asiasat 4,ASIASAT 9,0,V,11300,90,0,0,12800,X
299,E172A_SWP,0,1538.45,172,0,90,0,GE23,EUTELSAT 172A,0,V,10000,90,0,0,12800,V
336,IS21_KU_MOY,0,1514.6,-58,0,90,0,IS-21,INTELSAT 21,0,H,10000,90,0,0,12800,X
343,SHR_T11N_N1_IDRCT_EUH_USV,0,1109.53,-37.5,0,90,0,T11N,TELSTAR 11N,0,V,10750,90,0,0,12800,X
350,E172A_SEP,0,1650.65,172,0,90,0,GE23,EUTELSAT 172A,0,V,10000,90,0,0,12800,V
373,IS14_KU_UEF,0,1574,-45,0,90,0,IS14,INTELSAT 14,0,V,10000,90,0,0,12800,X
384,SHR_T11N_N1_IDRCT_EUV_AFRH,0,1283.05,-37.5,0,90,0,T11N,TELSTAR 11N,0,H,9750,90,0,0,12800,X
396,ABZ_NSS7_N1_IDRCT_EUV_EUH,0,1415.8,-20,0,90,0,NSS7_IOO,NSS-7,0,H,11300,90,0,0,12800,X
405,IS20_S2,0,1505.738,68.5,0,90,0,IS20,INTELSAT 20,0,V,10000,90,0,0,12800,X
428,E172A_2NP,0,1339.05,172,0,90,0,GE23,EUTELSAT 172A,0,H,11300,90,0,0,12800,X
463,IS10_ASIA,0,1438,47.5,0,90,0,IS10,INTELSAT 10,0,V,11300,90,0,0,12800,V
474,IS14_KU_AMA,0,1032.64,-45,0,90,0,IS14,INTELSAT 14,0,V,10750,90,0,0,12800,X
506,IS22_KU_MOY,0,997.9,72.1,0,90,0,IS22,INTELSAT 22,0,H,11300,90,0,0,12800,X
535,E10A_KU_AFR,0,1602.621,10,0,90,0,E10A,EUTELSAT 10A,3.535,H,10000,90,0,0,12800,X
540,IS10_KU_EUE,0,1595.125,47.5,0,90,0,IS10,INTELSAT 10,0,H,10000,90,0,0,12800,H
577,IS19_KU_NWP,0,1290.85,166,0,90,0,IS19,INTELSAT 19,0,H,11300,90,0,0,12800,X
581,IS34_KU_NAT,0,1474.8,-55.5,0,90,0,IS34,INTELSAT 34,0,V,10000,90,0,0,12800,X
598,AP_9_KU_WES,0,1622.6,142,0,90,0,APSTAR-9,APSTAR 9,0,V,10000,90,0,0,12800,X
602,IS22_KU_MEF,0,1355.9,72.1,0,90,0,IS22,INTELSAT 22,0,H,11300,90,0,0,12800,X
615,IS19_KU_SWP,0,1347.5,166,0,90,0,IS19,INTELSAT 19,0,V,11300,90,0,0,12800,X
623,SBC2_KU_SEA,0,1153,144,0,90,0,JSAT,,12,H,11300,90,0,0,12800,X
677,T12V_KU_SAT,0,1442.52,-15,0,90,0,T12Vantage,TELSTAR 12V,0,V,10750,90,0,0,12800,X
715,E172_KU_SPC,0,1445.014,172,0,90,0,GE23,,0,H,11300,90,0,0,12800,X
731,T12V_KU_CAR,0,1085.11,-15,0,90,0,T12Vantage,TELSTAR 12V,0,V,10750,90,0,0,12800,X
763,T11N_EU,0,1245.02,-37.5,0,90,0,T11N,TELSTAR 11N,0,V,11300,90,0,0,12800,X
784,SHR_IS1002_N1_IDRCT_SP1H_SP1V,0,1340.099,-1,0,90,0,IS10-02,INTELSAT 10-02,0,V,9750,90,0,0,12800,X
785,AP9_KU_NOR,0,1278.65,142,0,90,0,APSTAR-9,APSTAR 9,0,H,9750,90,0,0,12800,X
797,G25_KU_AMA,0,1133.5,-93.1,0,90,0,Galaxy-25,GALAXY 25,0,H,10750,90,0,0,12800,X
894,PERH_JSAT110A_N1_IDRCT_SIORV_SIORH,0,1398.97,110,0,90,0,JCSAT-110A,N-SAT-110,0,H,11300,90,0,0,12800,X
